Ouahigouya,Burkina Faso,"OUAHIGOUYA, UV",GHCND:UV000005502,"{'jan': 0.0, 'feb': 0.1, 'mar': 0.25, 'apr': 0.5, 'may': 2.25, 'jun': 4.8, 'jul': 7.45, 'aug': 10.05, 'sep': 6.7, 'oct': 2.55, 'nov': 0.0, 'dec': 0.0}","{'jan': 0.0, 'feb': 0.1, 'mar': 2.06, 'apr': 4.685, 'may': 31.49, 'jun': 71.80499999999998, 'jul': 117.60999999999994, 'aug': 171.84000000000003, 'sep': 100.60499999999995, 'oct': 27.359999999999992, 'nov': 0.0, 'dec': 0.0}"
Bujumbura,Burundi,"BUJUMBURA, BY",GHCND:BY000064390,"{'jan': 11.9, 'feb': 9.45, 'mar': 12.4, 'apr': 14.6, 'may': 7.1, 'jun': 1.45, 'jul': 0.55, 'aug': 1.95, 'sep': 6.5, 'oct': 9.15, 'nov': 14.2, 'dec': 12.35}","{'jan': 117.85000000000005, 'feb': 87.22500000000004, 'mar': 110.76499999999996, 'apr': 126.455, 'may': 57.43000000000001, 'jun': 8.795, 'jul': 3.3600000000000003, 'aug': 16.3, 'sep': 38.099999999999994, 'oct': 56.99499999999996, 'nov': 100.63499999999998, 'dec': 97.72500000000005}"
Garoua,Cameroon,"GAROUA, CM",GHCND:CMM00064860,"{'jan': 0.0, 'feb': 0.0, 'mar': 0.15, 'apr': 1.2, 'may': 3.35, 'jun': 4.75, 'jul': 6.3, 'aug': 8.05, 'sep': 7.75, 'oct': 3.3, 'nov': 0.15, 'dec': 0.0}","{'jan': 0.0, 'feb': 0.0, 'mar': 2.4899999999999998, 'apr': 12.9, 'may': 51.160000000000004, 'jun': 75.03999999999998, 'jul': 109.53499999999994, 'aug': 154.64000000000001, 'sep': 139.80999999999997, 'oct': 47.58, 'nov': 3.505, 'dec': 0.0}"
Ngaoundéré,Cameroon,"NGAOUNDERE, CM",GHCND:CM000064870,"{'jan': 0.0, 'feb': 0.05, 'mar': 0.3, 'apr': 3.2, 'may': 5.15, 'jun': 5.95, 'jul': 7.95, 'aug': 8.2, 'sep': 8.65, 'oct': 5.7, 'nov': 0.75, 'dec': 0.05}","{'jan': 0.0, 'feb': 0.15, 'mar': 3.6350000000000002, 'apr': 38.89999999999999, 'may': 78.37000000000002, 'jun': 70.98, 'jul': 125.91499999999994, 'aug': 105.54999999999993, 'sep': 113.65999999999997, 'oct': 77.93000000000004, 'nov': 4.885, 'dec': 4.025}"
Douala,Cameroon,"DOUALA, CM",GHCND:CM000004910,"{'jan': 1.95, 'feb': 4.5, 'mar': 6.15, 'apr': 9.2, 'may': 10.3, 'jun': 13.05, 'jul': 16.85, 'aug': 22.95, 'sep': 17.7, 'oct': 14.55, 'nov': 7.9, 'dec': 2.0}","{'jan': 34.835, 'feb': 55.36499999999999, 'mar': 86.49499999999998, 'apr': 177.17999999999998, 'may': 158.19, 'jun': 285.41499999999985, 'jul': 414.6499999999999, 'aug': 583.7749999999999, 'sep': 480.53000000000003, 'oct': 283.97500000000025, 'nov': 121.35999999999993, 'dec': 22.470000000000002}"
Praia,Cape Verde,"PRAIA, CV",GHCND:CVM00008589,"{'jan': 0.05, 'feb': 0.15, 'mar': 0.0, 'apr': 0.0, 'may': 0.0, 'jun': 0.0, 'jul': 0.25, 'aug': 1.2, 'sep': 2.35, 'oct': 0.45, 'nov': 0.15, 'dec': 0.1}","{'jan': 0.15, 'feb': 4.345, 'mar': 0.0, 'apr': 0.0, 'may': 0.0, 'jun': 0.0, 'jul': 1.8050000000000002, 'aug': 10.194999999999999, 'sep': 33.584999999999994, 'oct': 3.1149999999999998, 'nov': 1.7, 'dec': 0.6950000000000001}"
Bangui,Central African Republic,"BANGUI M POKO, CT",GHCND:CTM00064650,"{'jan': 0.5, 'feb': 1.2, 'mar': 3.15, 'apr': 3.15, 'may': 5.3, 'jun': 6.0, 'jul': 5.7, 'aug': 8.05, 'sep': 6.7, 'oct': 7.5, 'nov': 3.4, 'dec': 0.65}","{'jan': 3.7299999999999995, 'feb': 20.410000000000004, 'mar': 38.26499999999999, 'apr': 46.62500000000001, 'may': 126.47999999999998, 'jun': 87.97, 'jul': 126.98999999999997, 'aug': 143.84500000000003, 'sep': 111.12499999999996, 'oct': 110.1099999999999, 'nov': 45.059999999999995, 'dec': 8.125}"
Birao,Central African Republic,"BIRAO, CT",GHCND:CT000004658,"{'jan': 0.0, 'feb': 0.0, 'mar': 0.2, 'apr': 1.0, 'may': 2.35, 'jun': 3.45, 'jul': 5.2, 'aug': 4.7, 'sep': 3.25, 'oct': 1.1, 'nov': 0.1, 'dec': 0.0}","{'jan': 0.0, 'feb': 0.0, 'mar': 1.42, 'apr': 14.709999999999999, 'may': 44.07500000000001, 'jun': 61.91000000000001, 'jul': 64.91000000000003, 'aug': 68.17500000000001, 'sep': 43.13500000000001, 'oct': 9.59, 'nov': 0.44000000000000006, 'dec': 0.0}"
N'Djamena,Chad,"NDJAMENA, CD",GHCND:CD000004700,"{'jan': 0.0, 'feb': 0.0, 'mar': 0.0, 'apr': 0.35, 'may': 1.75, 'jun': 2.95, 'jul': 7.1, 'aug': 7.8, 'sep': 4.85, 'oct': 1.4, 'nov': 0.05, 'dec': 0.0}","{'jan': 0.0, 'feb': 0.0, 'mar': 0.0, 'apr': 9.895, 'may': 20.589999999999996, 'jun': 58.14000000000002, 'jul': 117.33999999999996, 'aug': 151.78999999999994, 'sep': 62.47499999999999, 'oct': 18.34, 'nov': 0.85, 'dec': 0.0}"
Abéché,Chad,"ABECHE, CD",GHCND:CD000004756,"{'jan': 0.0, 'feb': 0.0, 'mar': 0.0, 'apr': 0.0, 'may': 0.8, 'jun': 2.65, 'jul': 4.75, 'aug': 6.7, 'sep': 3.85, 'oct': 0.95, 'nov': 0.0, 'dec': 0.0}","{'jan': 0.05, 'feb': 0.0, 'mar': 0.0, 'apr': 0.025, 'may': 9.175, 'jun': 32.78000000000001, 'jul': 65.69999999999997, 'aug': 97.68499999999992, 'sep': 40.115, 'oct': 11.379999999999999, 'nov': 0.0, 'dec': 0.0}"
